product_name,product_name_da,brands,categories_tags,main_category,main_category_en,labels_tags,languages_tags,countries_tags,lc,ecoscore_grade,environmental_score_grade,ecoscore_score
Solsikke rugbrød,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Protein boller,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:rye-breads",en:rye-breads,Rye breads,en:keyhole,<na>,en:denmark,<na>,,a-plus,
Hotdog Bread,<NA>,Kohberg Bakery,,,,,<na>,en:denmark,<na>,,unknown,
Rugbrød,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Hamburger boller 6 stk,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Kohbergs Gulerods Rugbrød,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Kartoffelrugbrød,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Solsikke rugbrød,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Durum sandwich bread,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Grov Cafe Sandwich,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Øko fuldkorns burgerboller,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Solsikke rugbrød,<NA>,Møllens brød,,,,en:keyhole,<na>,en:denmark,<na>,,unknown,
Brioche Burger,<NA>,Møllens Brød,,,,,<na>,en:denmark,<na>,,unknown,
Kohberg Ciabatta Boller / Brød,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Kartoffel Sandwichbrød,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Rug sandwich,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:wholemeal-breads",en:wholemeal-breads,Wholemeal breads,,<na>,en:denmark,<na>,,unknown,
Boller,<NA>,Kohlberg,,,,,<na>,en:denmark,<na>,,unknown,
Familierugbrød,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Smagfuld,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Surdej cafe burger,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Balance brød,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Brioche Burgerboller,<NA>,Møllens Brød,,,,,<na>,en:denmark,<na>,,unknown,
Sandwich brød,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:breads,en:white-breads,en:wheat-breads",en:wheat-breads,Wheat breads,"en:vegetarian,en:vegan,da:dansk-vegetarisk-forening,da:dansk-vegetarisk-forening-vegansk,en:keyhole",<na>,en:denmark,<na>,,unknown,
Bamse Boller,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Surdej Stykker,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Surdej Café Sandwich Brød,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Solsikke Rugbrød,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,da:fuldkorn",da:fuldkorn,da:fuldkorn,"en:keyhole,en:made-in-denmark",<na>,en:denmark,<na>,,unknown,
Solsikke,<NA>,Kohberg,,,,,<na>,en:denmark,<na>,,unknown,
Rug Sandwich,<NA>,Kohberg,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Fuldkorn Brød Skiver,<NA>,Møllens Brød,,,,,<na>,en:denmark,<na>,,unknown,
