product_name,product_name_da,brands,categories_tags,main_category,main_category_en,labels_tags,languages_tags,countries_tags,lc,ecoscore_grade,environmental_score_grade,ecoscore_score
Oksekød 7-10%,<NA>,Velsmag,,,,,<na>,en:denmark,<na>,,unknown,
Confiterede Andelår,<NA>,Savoury,,,,,<na>,en:denmark,<na>,,unknown,
Crispy Kyllingeburger,<NA>,Slagteren,,,,,<na>,en:denmark,<na>,,unknown,
Okse Entrecote Bøffer,<NA>,Nemlig,,,,,<na>,en:denmark,<na>,,unknown,
Marineret Tykstegs Bøf (grisk),<NA>,Velsmag,,,,,<na>,en:denmark,<na>,,unknown,
Oksebov,<NA>,Premieur,,,,,<na>,en:denmark,<na>,,unknown,
Ribeye Udskæring,<NA>,Velsmag,,,,,<na>,en:denmark,<na>,,unknown,
Xxl Panerede Schnitzler Af Gris,<NA>,The Meat Market,,,,,<na>,en:denmark,<na>,,unknown,
Ribeye Okse,<NA>,Velsmag,,,,,<na>,en:denmark,<na>,,unknown,
Chicken Kebab,<NA>,SimplyChicken,,,,,<na>,en:denmark,<na>,,unknown,
Spegepølse med hjortekød,<NA>,minimum,,,,,<na>,en:denmark,<na>,,unknown,
Manjar tradicional,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Stjernehaps,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Små Stenger,<NA>,Nørregade,,,,,<na>,en:denmark,<na>,,unknown,
Chocolate And Vanilla Ice Cream,<NA>,Hensens,,,,,<na>,en:denmark,<na>,,unknown,
Vanille Is,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Is,<NA>,Hansen,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams",en:ice-creams,Ice creams,"en:organic,en:eu-organic,en:dk-øko-100",<na>,en:denmark,<na>,,a,
Chokolade Is,<NA>,Hansen,,,,,<na>,en:denmark,<na>,,unknown,
Jordbaer,<NA>,Hansens,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-in-a-box",en:ice-cream-in-a-box,Ice cream in a box,"en:organic,en:eu-organic,en:dk-øko-100",<na>,en:denmark,<na>,,a,
Salted Karamel Flødeis,<NA>,Hansens Is,,,,,<na>,en:denmark,<na>,,unknown,
Pistacie Flødeis,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Solstang,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Rødgrød Is,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Fudge/crumble,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Hindbær Sorbet,<NA>,Hansens,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:sorbets",en:sorbets,Sorbets,"en:organic,en:eu-organic,en:dk-øko-100",<na>,en:denmark,<na>,,a,
Jordbær sorbet,<NA>,Hansens,"en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets",en:ice-creams-and-sorbets,Ice creams and sorbets,"en:organic,en:eu-organic,en:dk-øko-100",<na>,en:denmark,<na>,,unknown,
Rum And Raisin Ice Cream,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Vanille Flødeis,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Hansen karamel is,<NA>,Hansen,,,,,<na>,en:denmark,<na>,,unknown,
Hazelnut Caramel,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Hansens Creamy Crumble,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Solbærstang,<NA>,Hansens,,,,,<na>,en:denmark,<na>,,unknown,
Solstang ispind,<NA>,Hansen,,,,,<na>,en:denmark,<na>,,unknown,
Blip Blop Is,<NA>,Hansen,,,,,<na>,en:denmark,<na>,,unknown,
Rapskim Olie,<NA>,Lehnsgaard Bornholm,,,,,<na>,en:denmark,<na>,,unknown,
Rapskernöl mit Butteraroma,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fats,en:vegetable-fats,en:vegetable-oils,en:rapeseed-oils",en:rapeseed-oils,Rapeseed oils,,<na>,"en:denmark,en:germany",<na>,,a,
Crispy Vanilla & Caramel,<NA>,Nutramino,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-bars",en:protein-bars,Protein bars,,<na>,en:denmark,<na>,,unknown,
Koreanische BBQ Souce,<NA>,Sempio,"en:condiments,en:sauces,en:barbecue-sauces",en:barbecue-sauces,Barbecue sauces,,<na>,en:denmark,<na>,,b,
..,<NA>,,,,,,<na>,"en:denmark,en:france",<na>,,unknown,
Traditional  smoked salmon,<NA>,New Nordic,"en:seafood,en:fishes-and-their-products,en:fishes,en:fatty-fishes,en:salmons,en:smoked-fishes,en:smoked-salmons",en:smoked-salmons,Smoked salmons,,<na>,en:denmark,<na>,,f,
Fur Alkoholfri IPA,<NA>,Fur Bryghus,,,,,<na>,en:denmark,<na>,,unknown,
Salami m hvidløg,<NA>,Leif Henriksen,"en:meats-and-their-products,en:meats,en:prepared-meats,en:cured-sausages,en:salami",en:salami,Salami,,<na>,en:denmark,<na>,,e,
Organic Juicy Dates,<NA>,RM Import A/S,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:fruits,en:dried-plant-based-foods,en:dried-fruits,en:dates,en:mazafati-dates",en:mazafati-dates,Mazafati dates,"en:organic,en:eu-organic,en:ir-bio-140,en:ir-bio-166,en:ikke-eu-jordbrug",<na>,"en:denmark,en:finland,en:france,en:germany",<na>,,b,
Green dates,<NA>,RM Import,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:dates",en:dates,Dates,,<na>,en:denmark,<na>,,c,
Date balls cocoa,<NA>,Green Snacks,,,,,<na>,en:denmark,<na>,,unknown,
Date balls peanuts/cacao,<NA>,Green Snacks,,,,,<na>,en:denmark,<na>,,unknown,
Green dates,<NA>,Daddlkugler,,,,,<na>,en:denmark,<na>,,unknown,
Datteln mit Erdnüssen und Schoko,<NA>,Dates in a new Tasty way,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:dried-products,en:fruits,en:dried-plant-based-foods,en:dried-fruits,en:dates",en:dates,Dates,,<na>,en:denmark,<na>,,c,
Dadler,<NA>,Green dates,,,,,<na>,en:denmark,<na>,,unknown,
Daddelkugler hasselnød/kakao,<NA>,green dates,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:snacks,en:fruits-based-foods,en:fruits,en:dates,da:sund-snack",da:sund-snack,da:sund-snack,,<na>,en:denmark,<na>,,c,
Candy dates,<NA>,Green dates,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:fruits,en:dates",en:dates,Dates,,<na>,en:denmark,<na>,,c,
Dates - salty licorice,<NA>,Green dates,,,,,<na>,en:denmark,<na>,,unknown,
Dadler med saltkaramel,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Fuldkornsstænger,<NA>,Snack Creations,,,,,<na>,en:denmark,<na>,,unknown,
Fuldkornssaltstænger,<NA>,Snack Creations,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:breadsticks",en:breadsticks,Breadsticks,en:keyhole,<na>,en:denmark,<na>,,a,
Økologiske Kernestænger Fuldkorn,<NA>,Snack Creations,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:breadsticks",en:breadsticks,Breadsticks,"en:organic,en:eu-organic,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture,en:sk-bio-002",<na>,en:denmark,<na>,,a-plus,
Økologiske Bagte Chips,<NA>,Snack Creations,,,,,<na>,en:denmark,<na>,,unknown,
Kernestænger,<NA>,Snack creations,,,,,<na>,en:denmark,<na>,,unknown,
Fuldkorn Mini Saltstænger Salt,<NA>,Snack Creations,,,,,<na>,en:denmark,<na>,,unknown,
Fuldkorn Mini Saltstænger Sesam,<NA>,Snack Creations,,,,,<na>,en:denmark,<na>,,unknown,
Good gut Shot,<NA>,Good Gut,,,,,<na>,en:denmark,<na>,,unknown,
Matilde Kakao Premium,<NA>,Matilde Kakao,da:matilde-kakao,da:matilde-kakao,da:matilde-kakao,da:matilde-premium,<na>,en:denmark,<na>,,unknown,
Vanille,<NA>,Inshape,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spices,en:vanilla",en:vanilla,Vanilla,,<na>,en:denmark,<na>,,unknown,
Tortilla,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Jalapeño,<NA>,Fiesta Mexicana,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:spices,en:chili-peppers",en:chili-peppers,Chili peppers,,<na>,en:denmark,<na>,,a,
Dip Guacamole Style Antica Cantina,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Fiesta Mexicana,<NA>,Leighton Foods A/S,,,,"en:vegetarian,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan",<na>,en:denmark,<na>,,unknown,
Soft flour tortillas,<NA>,Antica cantina,,,,"en:organic,en:eu-organic,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture",<na>,"en:denmark,en:germany,en:switzerland",<na>,,unknown,
Taco Sauce,<NA>,Antica cantina,,,,"en:organic,en:vegetarian,en:eu-organic,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan,en:nl-bio-01",<na>,en:denmark,<na>,,unknown,
Taco Supreme,<NA>,Broken Taco,,,,,<na>,en:denmark,<na>,,unknown,
Bacon & Cheddar Cheese Sauce,<NA>,Broken Taco,,,,,<na>,en:denmark,<na>,,unknown,
Chipotle Mayo,<NA>,Broken Taco,,,,,<na>,en:denmark,<na>,,unknown,
Dürüm Döner,<NA>,Altin Aslan,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads",en:breads,Breads,,<na>,en:denmark,<na>,,unknown,
Taco Shells,<NA>,Antica Cantina,,,,,<na>,en:denmark,<na>,,unknown,
Green Pesto,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Cremet Peberfrugt Pesto,<NA>,Zelected,"en:condiments,en:sauces,en:pestos,en:red-pestos",en:red-pestos,Red pestos,,<na>,en:denmark,<na>,,d,
Cremet Basilikum Pesto,<NA>,Zelected,"en:condiments,en:sauces,en:pestos,en:green-pestos,en:groceries",en:groceries,Groceries,,<na>,en:denmark,<na>,,d,
Pesto crémeux aux tomates,<NA>,Zelected,"en:condiments,en:sauces,en:pestos",en:pestos,Pestos,,<na>,en:denmark,<na>,,d,
Extra Virgin Olive Oil,<NA>,Casaneo,,,,,<na>,en:denmark,<na>,,unknown,
Ekstra Jomfru Oliven-Olie,<NA>,Casaneo,,,,,<na>,en:denmark,<na>,,unknown,
Økologisk Aceto Balsamico Di Modena I.G.P,<NA>,Zelected Foods,,,,"en:organic,en:eu-organic,en:it-bio-007,en:pgi",<na>,en:denmark,<na>,,unknown,
Grissini Classic,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Grillede Grønne Oliven,<NA>,Zelected,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:pickles,en:olive-tree-products,en:plant-based-pickles,en:olives,en:green-olives",en:green-olives,Green olives,,<na>,en:denmark,<na>,,a,
"Basilikum Pesto, Økologisk",<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Klassisk Chilli/Hvidløg Pesto,<NA>,Zelected,"en:condiments,en:sauces,en:pestos",en:pestos,Pestos,,<na>,en:denmark,<na>,,c,
Creamy Pesto with Truffle,<NA>,Zelected,"en:condiments,en:sauces,en:pestos,en:red-pestos,en:red-pesto-with-truffle",en:red-pesto-with-truffle,Red-pesto-with-truffle,,<na>,en:denmark,<na>,,d,
Tutti Frutti Mix,<NA>,Favorita,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies,da:kagepynt,da:krymmel",da:krymmel,da:krymmel,,<na>,en:denmark,<na>,,d,
Sauerkraut,<NA>,Zelected,,,,,<na>,"en:denmark,en:germany",<na>,,unknown,
Klassisk Hummus,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Pizza Mel,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Pizzabund Bagemix,<NA>,Favorita,,,,,<na>,en:denmark,<na>,,unknown,
Tomatsauce basilikum,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Spicy Tomato Sauce,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Tomatsauce Til Bolognese,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Allround Spice Mix,<NA>,Selected,,,,,<na>,en:denmark,<na>,,unknown,
Sweet Chili Sauce,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Bbq,<NA>,Z,,,,,<na>,en:denmark,<na>,,unknown,
Black Garlic Sauce,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Hørfrø olie,<NA>,Z,,,,,<na>,en:denmark,<na>,,unknown,
Skov-Jordbær i Sirup,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Cappucino Hazelnut,<NA>,Leaves N’ Beans,,,,,<na>,en:denmark,<na>,,unknown,
Iced latte salted caramel,<NA>,Street joués,,,,,<na>,en:denmark,<na>,,unknown,
Moccacino,<NA>,Barista’s,,,,,<na>,en:denmark,<na>,,unknown,
Fuldkorns Bronze Pasta Fusilli,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Pearl Couscous,<NA>,Økomama,,,,,<na>,en:denmark,<na>,,unknown,
Økologiske Sorte Bønner,<NA>,Økomama,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:legumes,en:seeds,en:legume-seeds,en:pulses,en:common-beans,en:black-beans",en:black-beans,Black beans,en:keyhole,<na>,en:denmark,<na>,,unknown,
Økoogiske kikærter,<NA>,Økomama,,,,"en:organic,en:eu-organic,en:keyhole",<na>,"en:denmark,en:germany",<na>,,unknown,
Quinoa mix,<NA>,Okomama,,,,,<na>,en:denmark,<na>,,unknown,
Økologisk Havregrød,<NA>,Økomama,,,,,<na>,en:denmark,<na>,,unknown,
Økologisk cremet tomat pesto,<NA>,Zelected,,,,"en:organic,en:eu-organic,en:it-bio-009",<na>,en:denmark,<na>,,unknown,
Cremet Chili/ingefær Pesto,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Bronze Pasta Fusilli,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Linguine - Bronze Pasta,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Tortiglioni,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Pasta,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Olivenolie Mix,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Løg Chutney,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Chipotle Mayo,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Trøffel Mayo,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Syltede Rødløg,<NA>,Zelected,da:syltede-rødløg,da:syltede-rødløg,da:syltede-rødløg,,<na>,en:denmark,<na>,,unknown,
Chunky Agurkeskiver,<NA>,Zelected,,,,,<na>,en:denmark,<na>,,unknown,
Speltkerner,<NA>,Madame Butterfly,,,,"en:organic,en:eu-organic,en:keyhole",<na>,en:denmark,<na>,,unknown,
Choko funny,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Funny Crunch,<NA>,Food Solutions,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:puffed-grains,en:puffed-cereals,en:puffed-rice",en:puffed-rice,Puffed rice,,<na>,en:denmark,<na>,,d,
Okologiske muslikiks,<NA>,Madame Butterfly,"en:plant-based-foods-and-beverages,en:plant-based-foods",en:plant-based-foods,Plant-based foods,"en:vegetarian,en:vegan,en:the-vegan-society",<na>,en:denmark,<na>,,unknown,
Økologiske havrekiks,<NA>,Madame Butterfly,,,,,<na>,en:denmark,<na>,,unknown,
Organic chocolate chip cookies,<NA>,,,,,"en:organic,en:eu-organic",<na>,en:denmark,<na>,,unknown,
Havregryn,<NA>,kind,,,,,<na>,en:denmark,<na>,,unknown,
Økologisk fuldkornskiks,<NA>,Madame butterfly,,,,,<na>,en:denmark,<na>,,unknown,
Jumbo pita,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:special-breads",en:special-breads,Special breads,,<na>,en:denmark,<na>,,unknown,
Økologisk nødde creme,<NA>,Madame Butterfly,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products",en:nuts-and-their-products,Nuts and their products,"en:organic,en:vegetarian,en:eu-organic,en:vegan,en:it-bio-007,en:the-vegan-society",<na>,en:denmark,<na>,,unknown,
Havrekiks,<NA>,Madame butterfly,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits",en:biscuits,Biscuits,,<na>,en:denmark,<na>,,c,
Salt kiks,<NA>,Madame Butterfly,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits",en:biscuits,Biscuits,,<na>,en:denmark,<na>,,c,
Oats,<NA>,Madame Butterfly,,,,,<na>,en:denmark,<na>,,unknown,
Choko funny,<NA>,Netto,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals",en:breakfast-cereals,Breakfast cereals,,<na>,en:denmark,<na>,,e,
Crispy Funny,<NA>,Food Solutions,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals",en:breakfast-cereals,Breakfast cereals,en:rainforest-alliance,<na>,en:denmark,<na>,,d,
Funny Fuldkorn,<NA>,Food Solutions,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals,en:puffed-grains,en:puffed-cereals",en:puffed-cereals,Puffed cereals,,<na>,en:denmark,<na>,,e,
Redningskranse,<NA>,Rasmus Klump,,,,,<na>,en:denmark,<na>,,unknown,
Havrepuder - Rasmus Klump,<NA>,,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals",en:breakfast-cereals,Breakfast cereals,,<na>,en:denmark,<na>,,d,
Nutty choko bowl,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Rasmus Klumps Redningskranse,<NA>,Food Solutions,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:cereals-and-their-products,en:breakfast-cereals",en:breakfast-cereals,Breakfast cereals,,<na>,en:denmark,<na>,,e,
Special k,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Sandwich Spread,<NA>,Food Solutions A/S,,,,,<na>,en:denmark,<na>,,unknown,
Pandekager,<NA>,Rasmus Klump,,,,,<na>,en:denmark,<na>,,unknown,
Havregrød,<NA>,GROD,,,,,<na>,en:denmark,<na>,,unknown,
Kanelsnegle,<NA>,Mette Munk,,,,,<na>,en:denmark,<na>,,unknown,
Bacon,<NA>,Holmegaards Deli,,,,,<na>,en:denmark,<na>,,unknown,
Økologiske oksepølser,<NA>,ØGO,,,,,<na>,en:denmark,<na>,,unknown,
Økologiske kyllingepølser,<NA>,Øgo,,,,,<na>,en:denmark,<na>,,unknown,
Kyllingepølser,<NA>,ØKO Salling,,,,"en:organic,en:eu-organic,en:dk-øko-100",<na>,en:denmark,<na>,,unknown,
Økologisk Bacon,<NA>,Økonomi,,,,,<na>,en:denmark,<na>,,unknown,
Økologiske Grillpølser,<NA>,Holmegaards Deli,,,,,<na>,en:denmark,<na>,,unknown,
Økologiske Frankfurter Pølser med Chili,<NA>,,"en:meats-and-their-products,en:prepared-meats,en:sausages",en:sausages,Sausages,,<na>,en:denmark,<na>,,unknown,
Danish Carrots,<NA>,Sdr. Nissum Grønt,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:vegetables,en:carrots",en:carrots,Carrots,en:keyhole,<na>,en:denmark,<na>,,a-plus,
Kylling Chunks,<NA>,Bpi Bilka,,,,,<na>,en:denmark,<na>,,unknown,
Chicken,<NA>,Ready Chef,"en:meats-and-their-products,en:meats,en:chicken-and-its-products,en:poultries,en:chickens",en:chickens,Chickens,,<na>,en:denmark,<na>,,e,
Kyllinge Spyd,<NA>,Chick N Quick,,,,,<na>,en:denmark,<na>,,unknown,
Kyllingespyd m/ Teriyaki,<NA>,Chick 'n' Quick,,,,,<na>,en:denmark,<na>,,unknown,
Kyllingespyd,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Kyllinge Strimler,<NA>,Netto,,,,,<na>,en:denmark,<na>,,unknown,
Kyllinge Cornflakes Burgers,<NA>,Chick'N'Quick,,,,,<na>,en:denmark,<na>,,unknown,
Kyllinge Strimer,<NA>,Chick'n'Quick,,,,,<na>,en:denmark,<na>,,unknown,
Roasted Chicken Strips,<NA>,BPI,,,,,<na>,en:denmark,<na>,,unknown,
Kyllinge Kebab,<NA>,Chick N Quick,,,,,<na>,en:denmark,<na>,,unknown,
Færdigstægte Kyllingespyd,<NA>,Chick’n’quick,,,,,<na>,en:denmark,<na>,,unknown,
Katsu Steaks,<NA>,Chick’n’quick,,,,,<na>,en:denmark,<na>,,unknown,
Kyllinge Goujons,<NA>,Chick'n'quick,,,,,<na>,en:denmark,<na>,,unknown,
Kyllingespyd,<NA>,Slagteren,,,,,<na>,en:denmark,<na>,,unknown,
Original Chilisauce,<NA>,Darna,"en:condiments,en:sauces,en:hot-sauces",en:hot-sauces,Hot sauces,,<na>,en:denmark,<na>,,unknown,
Hummus Soltorret Tomat,<NA>,Deli Drengene,,,,,<na>,en:denmark,<na>,,unknown,
Grov hummis,<NA>,Deli drengene,,,,,<na>,en:denmark,<na>,,unknown,
Chilisauce,<NA>,Darna,,,,,<na>,en:denmark,<na>,,unknown,
Original Chilisauce: Røget og Krydret,<NA>,Darna,,,,,<na>,en:denmark,<na>,,unknown,
Chili Original,<NA>,Darna,,,,"en:vegetarian,en:vegan",<na>,en:denmark,<na>,,unknown,
Mini cookies moomin,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Rawlicious,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
2go peanutbar,<NA>,2GO,en:snacks,en:snacks,Snacks,,<na>,"en:denmark,en:finland",<na>,,unknown,
Honey Roasted Peanuts,<NA>,2GO,,,,,<na>,en:denmark,<na>,,unknown,
Salty Mix,<NA>,7-Eleven,,,,,<na>,en:denmark,<na>,,unknown,
Orginal Rød Lakrids Jordbærsmag,<NA>,Hodk,"en:snacks,en:sweet-snacks,en:confectioneries,en:candies",en:candies,Candies,,<na>,en:denmark,<na>,,c,
Mandler Mørk Chokolade & Havsalt,<NA>,Hodk,en:chocolated-nuts,en:chocolated-nuts,Chocolated-nuts,en:fair-trade,<na>,en:denmark,<na>,,unknown,
Mooming fruitbears strawberry,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Ribbensteg,<NA>,Frilandsgris Rema 1000,,,,,<na>,en:denmark,<na>,,unknown,
Alkoholfri Paket Ale,<NA>,Don’t Worry,,,,,<na>,en:denmark,<na>,,unknown,
Don't worry alkoholfri brown ale,<NA>,Svaneke,,,,,<na>,en:denmark,<na>,,unknown,
Don’t Worry Økologisk,<NA>,Svaneke,,,,,<na>,en:denmark,<na>,,unknown,
Creme fraiche 6 %,<NA>,Coop,,,,,<na>,en:denmark,<na>,,unknown,
Turmeric,<NA>,Frankly,,,,,<na>,en:denmark,<na>,,unknown,
Ingefærshot,<NA>,Frankly Juice,,,,"en:organic,en:eu-organic",<na>,en:denmark,<na>,,unknown,
Ingefær & Rødbede Shot,<NA>,Frankly Juice,,,,,<na>,en:denmark,<na>,,unknown,
"Æble, gulerod, citron, ingefær, gurkemeje juice",<NA>,Frankly Juice,,,,,<na>,en:denmark,<na>,,unknown,
Dansk agurk,<NA>,Dansk Grønt,,,,,<na>,en:denmark,<na>,,unknown,
Serveringsklar coleslaw,<NA>,Næmt,"en:snacks,en:salty-snacks,en:appetizers,en:coleslaw",en:coleslaw,Coleslaw,,<na>,en:denmark,<na>,,a,
Grønkål,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Spidskålmix,<NA>,Bønnelykken,,,,,<na>,en:denmark,<na>,,unknown,
Økologisk coleslaw,<NA>,Øgo,,,,,<na>,en:denmark,<na>,,unknown,
Blomkålssalat netto,<NA>,,,,,,<na>,en:denmark,<na>,,unknown,
Spidskålssalat,<NA>,Næmt,,,,,<na>,en:denmark,<na>,,unknown,
Nordisk Inspireret Coleslaw,<NA>,Naemt,,,,,<na>,en:denmark,<na>,,unknown,
Kålsalat Med Sprøde Rødder,<NA>,Salling Nu,,,,,<na>,en:denmark,<na>,,unknown,
Basis salat,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Basissalat,<NA>,Salling NU,,,,,<na>,en:denmark,<na>,,unknown,
Spidskålsalat,<NA>,Salling nu,,,,,<na>,en:denmark,<na>,,unknown,
Coleslaw salad,<NA>,Salling,en:coleslaw-salad,en:coleslaw-salad,Coleslaw-salad,,<na>,en:denmark,<na>,,unknown,
Spicy Coleshaw w. dressing,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Salatblanding,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Ceasar Santa Fe,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Kylling Salat,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Salling,<NA>,Cæsarsalat,,,,,<na>,en:denmark,<na>,,unknown,
Rejer med orientalsk dressing,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Kylling med honning sennepsdressing,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Økologisk Coleslaw,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Feldsalat,<NA>,Øko salling,,,,"en:organic,en:eu-organic",<na>,en:denmark,<na>,,unknown,
Øko Rucola,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Spicy Kyllingesalat,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Klassisk Salatblanding,<NA>,Næmt,,,,,<na>,en:denmark,<na>,,unknown,
Caesar Santa Fee,<NA>,Næmt,,,,,<na>,en:denmark,<na>,,unknown,
Spicy kyllingesalat,<NA>,Nemt,,,,,<na>,en:denmark,<na>,,unknown,
Protein bowl,<NA>,Salling Nu,,,,,<na>,en:denmark,<na>,,unknown,
Salat med varmrøget lakd og rødebeder,<NA>,Salling,,,,,<na>,en:denmark,<na>,,unknown,
Sprød Salat,<NA>,Salling Nu,,,,,<na>,en:denmark,<na>,,unknown,
Mexikansk-inspireret salat med gazpachodressing,<NA>,Salling Nu,,,,,<na>,en:denmark,<na>,,unknown,
Grøntsagsris med urtedressing,<NA>,NU,,,,,<na>,en:denmark,<na>,,unknown,
"HVERDAGSSALAT MED ENDIVIE-, FRISÉE- OG RADICCHIOSALAT.",<NA>,Salling Nu,,,,,<na>,en:denmark,<na>,,unknown,
